Footywire_name,2017_club,2018_club,afltables_id
Jake Lever,Adelaide,Melbourne,12351
Devon Smith,GWS,Essendon,12029
Jarman Impey,Port Adelaide,Hawthorn,12237
Hayden Crozier,Fremantle,Western Bulldogs,12088
Adam Saad,Gold Coast,Essendon,12330
Jack Watts,Melbourne,Port Adelaide,11765
Brendon Ah Chee,Port Adelaide,West Coast,12338
Harley Balic,Fremantle,Melbourne,12512
Harrison Wigg,Adelaide,Gold Coast,yet to debut
Bryce Gibbs,Carlton,Adelaide,11535
Aaron Young,Port Adelaide,Gold Coast,12068
Logan Austin,Port Adelaide,St Kilda,12450
Samuel Murray,Sydney,Collingwood,yet to debut
Sam Gibson,North Melbourne,Adelaide,12093
Nathan Wilson,GWS,Fremantle,12024
Matthew Lobbe,Port Adelaide,Carlton,11836
Jake Stringer,Western Bulldogs,Essendon,12167
Matthew Kennedy,GWS,Carlton,12455
Luke Hodge,Hawthorn,Brisbane,1134
Darcy Lang,Geelong,Carlton,12286
Gary Jnr Ablett,Gold Coast,Geelong,1105
Charlie Cameron,Adelaide,Brisbane,12277
Lachlan Weller,Fremantle,Gold Coast,12385
Brandon Matera,Gold Coast,Fremantle,11915
Josh Schache,Brisbane,Western Bulldogs,12416
